method,dataset,dataset_version,pretrained,train,epochs,recall/roi_0.3,recall/rcnn_0.3,recall/roi_0.5,recall/rcnn_0.5,recall/roi_0.7,recall/rcnn_0.7,Car_aos/easy_R40,Car_aos/moderate_R40,Car_aos/hard_R40,Car_3d/easy_R40,Car_3d/moderate_R40,Car_3d/hard_R40,Pedestrian_aos/easy_R40,Pedestrian_aos/moderate_R40,Pedestrian_aos/hard_R40,Pedestrian_3d/easy_R40,Pedestrian_3d/moderate_R40,Pedestrian_3d/hard_R40,Cyclist_aos/easy_R40,Cyclist_aos/moderate_R40,Cyclist_aos/hard_R40,Cyclist_3d/easy_R40,Cyclist_3d/moderate_R40,Cyclist_3d/hard_R40
PartA2_7940,KITTIDataset,None,True,False,80,0.9704,0.9707,0.9306,0.9359,0.7114,0.7472,97.8623,93.5757,91.5051,92.3664,82.9472,82.013,74.3039,69.3911,65.6024,66.9339,59.7637,54.6725,94.1433,79.856,77.1158,90.4364,70.1562,66.9618
PartA2_7940,KITTIDataset,None,True,False,80,0.9704,0.9707,0.9306,0.9359,0.7114,0.7472,97.8623,93.5757,91.5051,92.3664,82.9472,82.013,74.3039,69.3911,65.6024,66.9339,59.7637,54.6725,94.1433,79.856,77.1158,90.4364,70.1562,66.9618
PartA2_7940,KITTIDataset,None,True,False,80,0.9704,0.9707,0.9306,0.9359,0.7114,0.7472,97.8623,93.5757,91.5051,92.3664,82.9472,82.013,74.3039,69.3911,65.6024,66.9339,59.7637,54.6725,94.1433,79.856,77.1158,90.4364,70.1562,66.9618
PartA2_7940,KITTIDataset,None,True,False,80,0.9704,0.9707,0.9306,0.9359,0.7114,0.7472,97.8623,93.5757,91.5051,92.3664,82.9472,82.013,74.3039,69.3911,65.6024,66.9339,59.7637,54.6725,94.1433,79.856,77.1158,90.4364,70.1562,66.9618
PartA2_7940,KITTIDataset,None,True,False,80,0.9704,0.9707,0.9306,0.9359,0.7114,0.7472,97.8623,93.5757,91.5051,92.3664,82.9472,82.013,74.3039,69.3911,65.6024,66.9339,59.7637,54.6725,94.1433,79.856,77.1158,90.4364,70.1562,66.9618
PartA2_7940,KITTIDataset,None,True,False,80,0.9704,0.9707,0.9306,0.9359,0.7114,0.7472,97.8623,93.5757,91.5051,92.3664,82.9472,82.013,74.3039,69.3911,65.6024,66.9339,59.7637,54.6725,94.1433,79.856,77.1158,90.4364,70.1562,66.9618
PartA2_7940,KITTIDataset,None,True,False,80,0.9704,0.9707,0.9306,0.9359,0.7114,0.7472,97.8623,93.5757,91.5051,92.3664,82.9472,82.013,74.3039,69.3911,65.6024,66.9339,59.7637,54.6725,94.1433,79.856,77.1158,90.4364,70.1562,66.9618
PartA2_7940,KITTIDataset,None,True,False,80,0.9704,0.9707,0.9306,0.9359,0.7114,0.7472,97.8623,93.5757,91.5051,92.3664,82.9472,82.013,74.3039,69.3911,65.6024,66.9339,59.7637,54.6725,94.1433,79.856,77.1158,90.4364,70.1562,66.9618
PartA2_7940,KITTIDataset,None,True,False,80,0.9704,0.9707,0.9306,0.9359,0.7114,0.7472,97.8623,93.5757,91.5051,92.3664,82.9472,82.013,74.3039,69.3911,65.6024,66.9339,59.7637,54.6725,94.1433,79.856,77.1158,90.4364,70.1562,66.9618
PartA2_7940,KITTIDataset,None,True,False,80,0.9704,0.9707,0.9306,0.9359,0.7114,0.7472,97.8623,93.5757,91.5051,92.3664,82.9472,82.013,74.3039,69.3911,65.6024,66.9339,59.7637,54.6725,94.1433,79.856,77.1158,90.4364,70.1562,66.9618
