method,dataset,dataset_version,pretrained,train,epochs,Car_3d/moderate_R40,Pedestrian_3d/moderate_R40,Cyclist_3d/moderate_R40
pointpillar_7728,KITTIDataset,"26,0",True,False,80,78.43375743293787,51.07918773326221,63.47150050201746
pointpillar_7728,KITTIDataset,"39,26",True,False,80,78.16950629798889,50.67275295062982,62.59850898880644
pointpillar_7728,KITTIDataset,"24,42",True,False,80,78.09203524673013,50.65966826341598,62.12363940021829
pointpillar_7728,KITTIDataset,"36,61",True,False,80,78.24380659984703,51.000247296825194,62.94899664274596
pointpillar_7728,KITTIDataset,"4,32",True,False,80,78.25571960617654,50.888140294982186,62.08104128199283
pointpillar_7728,KITTIDataset,"51,53",True,False,80,75.25457710728116,50.03606436805711,60.9181843657763
pointpillar_7728,KITTIDataset,"7,25",True,False,80,78.32497216326605,51.46785229240306,62.8971958967827
pointpillar_7728,KITTIDataset,"19,62",True,False,80,78.39980546690818,51.322612817448864,63.124041706530356
pointpillar_7728,KITTIDataset,"7,36",True,False,80,78.21952656183694,50.99992334658212,62.94846630821509
pointpillar_7728,KITTIDataset,"20,13",True,False,80,78.3810429653198,51.36967989669642,62.93510297524515
pointpillar_7728,KITTIDataset,"52,29,62,34",True,False,80,76.01899102847761,50.150537919175896,62.570595645634675
pointpillar_7728,KITTIDataset,"46,5,3,61",True,False,80,78.11339777759834,49.20930625353935,61.39015972985208
pointpillar_7728,KITTIDataset,"55,23,14,3",True,False,80,75.83921068045343,50.682179261801316,59.85382976527317
pointpillar_7728,KITTIDataset,"44,18,43,15",True,False,80,75.98544464386914,47.69395925164548,58.8218483694609
pointpillar_7728,KITTIDataset,"52,46,30,29",True,False,80,76.00760337951971,47.835770583032186,61.10262047758569
pointpillar_7728,KITTIDataset,"55,28,52,43",True,False,80,75.21052847154992,49.03561568369329,58.918818534579984
pointpillar_7728,KITTIDataset,"47,18,15,21",True,False,80,77.83515224300304,49.07815627560813,61.32111412538887
pointpillar_7728,KITTIDataset,"20,30,17,61",True,False,80,78.12405043020985,51.205603706154214,62.87076184188939
pointpillar_7728,KITTIDataset,"39,10,30,52",True,False,80,76.03078086255228,49.823279121707465,61.497538488729006
