,method,dataset,# of damaged beams,Car_3d/moderate_R40,Pedestrian_3d/moderate_R40,Cyclist_3d/moderate_R40
0,pointpillar_7728,KITTIDataset,0,78.40001637,51.42591066,62.92232738
1,pointpillar_7728,KITTIDataset,2,77.97747494,50.94961293,62.60466781
2,pointpillar_7728,KITTIDataset,4,76.71248146,49.54941663,61.18956943
3,pointpillar_7728,KITTIDataset,6,76.8735254,49.46028049,61.18045485
4,pointpillar_7728,KITTIDataset,8,75.40635492,48.0556127,58.76164766
5,pointpillar_7728,KITTIDataset,10,73.42702155,45.32760512,56.92085605
6,pointpillar_7728,KITTIDataset,12,72.86229622,43.53619305,55.3670542
7,pointpillar_7728,KITTIDataset,14,71.41692841,42.47504677,52.30965057
8,pointpillar_7728,KITTIDataset,16,69.59927147,40.47670812,50.30650666
9,pointpillar_7728,KITTIDataset,18,69.78902402,40.64245634,50.00714589
10,pointpillar_7728,KITTIDataset,20,64.90777705,34.45228119,43.65036541
11,pointpillar_7728,KITTIDataset,22,66.63608442,37.19226378,44.57049707
12,pointpillar_7728,KITTIDataset,24,62.28641109,32.42646038,41.39666114
13,pointpillar_7728,KITTIDataset,26,61.4475167,31.14097914,37.04494552
14,pointpillar_7728,KITTIDataset,28,59.84983138,26.60721138,33.43721515
15,pointpillar_7728,KITTIDataset,30,56.90846201,28.07546094,31.81186195
16,pointpillar_7728,KITTIDataset,32,54.75199127,23.24333432,29.65058195
17,pointpillar_7728,KITTIDataset,34,46.61267029,17.60968075,23.35818966
18,pointpillar_7728,KITTIDataset,36,42.50294044,13.55678541,18.86882923
19,pointpillar_7728,KITTIDataset,38,46.12091534,16.70220616,22.54633702
20,pointpillar_7728,KITTIDataset,40,40.29781476,9.912261291,15.64645537
21,pointpillar_7728,KITTIDataset,42,35.91387946,9.969935742,13.14351778
22,pointpillar_7728,KITTIDataset,44,29.38629358,6.335953922,8.823445782
23,pointpillar_7728,KITTIDataset,46,32.11063035,5.881287991,7.516062389
24,pointpillar_7728,KITTIDataset,48,27.8249414,8.446065233,6.171777609
25,pointpillar_7728,KITTIDataset,50,17.76062692,4.317359552,3.576145789
26,pointpillar_7728,KITTIDataset,52,15.47167246,1.60865324,2.111812339
27,pointpillar_7728,KITTIDataset,54,10.55201181,1.025659361,0.732026226
28,pointpillar_7728,KITTIDataset,56,10.12634609,0.111838978,0.504785197
29,pointpillar_7728,KITTIDataset,58,3.717541953,0.037309617,0.010527956
