method,dataset,dataset_version,pretrained,train,epochs,recall/roi_0.3,recall/rcnn_0.3,recall/roi_0.5,recall/rcnn_0.5,recall/roi_0.7,recall/rcnn_0.7,Car_aos/easy_R40,Car_aos/moderate_R40,Car_aos/hard_R40,Car_3d/easy_R40,Car_3d/moderate_R40,Car_3d/hard_R40,Pedestrian_aos/easy_R40,Pedestrian_aos/moderate_R40,Pedestrian_aos/hard_R40,Pedestrian_3d/easy_R40,Pedestrian_3d/moderate_R40,Pedestrian_3d/hard_R40,Cyclist_aos/easy_R40,Cyclist_aos/moderate_R40,Cyclist_aos/hard_R40,Cyclist_3d/easy_R40,Cyclist_3d/moderate_R40,Cyclist_3d/hard_R40
pointpillar_7728,KITTIDataset,None,True,False,80,0.0,0.9411,0.0,0.887,0.0,0.6391,95.6291,92.0321,90.9599,87.7505,78.4,75.1859,45.8062,42.9723,39.9096,57.2051,51.4259,46.8773,87.9042,72.0718,67.9286,81.5623,62.9223,59.0237
pointpillar_7728,KITTIDataset,None,True,False,80,0.0,0.9411,0.0,0.887,0.0,0.6391,95.6291,92.0321,90.9599,87.7505,78.4,75.1859,45.8062,42.9723,39.9096,57.2051,51.4259,46.8773,87.9042,72.0718,67.9286,81.5623,62.9223,59.0237
pointpillar_7728,KITTIDataset,None,True,False,80,0.0,0.9411,0.0,0.887,0.0,0.6391,95.6291,92.0321,90.9599,87.7505,78.4,75.1859,45.8062,42.9723,39.9096,57.2051,51.4259,46.8773,87.9042,72.0718,67.9286,81.5623,62.9223,59.0237
pointpillar_7728,KITTIDataset,None,True,False,80,0.0,0.9411,0.0,0.887,0.0,0.6391,95.6291,92.0321,90.9599,87.7505,78.4,75.1859,45.8062,42.9723,39.9096,57.2051,51.4259,46.8773,87.9042,72.0718,67.9286,81.5623,62.9223,59.0237
pointpillar_7728,KITTIDataset,None,True,False,80,0.0,0.9411,0.0,0.887,0.0,0.6391,95.6291,92.0321,90.9599,87.7505,78.4,75.1859,45.8062,42.9723,39.9096,57.2051,51.4259,46.8773,87.9042,72.0718,67.9286,81.5623,62.9223,59.0237
pointpillar_7728,KITTIDataset,None,True,False,80,0.0,0.9411,0.0,0.887,0.0,0.6391,95.6291,92.0321,90.9599,87.7505,78.4,75.1859,45.8062,42.9723,39.9096,57.2051,51.4259,46.8773,87.9042,72.0718,67.9286,81.5623,62.9223,59.0237
pointpillar_7728,KITTIDataset,None,True,False,80,0.0,0.9411,0.0,0.887,0.0,0.6391,95.6291,92.0321,90.9599,87.7505,78.4,75.1859,45.8062,42.9723,39.9096,57.2051,51.4259,46.8773,87.9042,72.0718,67.9286,81.5623,62.9223,59.0237
pointpillar_7728,KITTIDataset,None,True,False,80,0.0,0.9411,0.0,0.887,0.0,0.6391,95.6291,92.0321,90.9599,87.7505,78.4,75.1859,45.8062,42.9723,39.9096,57.2051,51.4259,46.8773,87.9042,72.0718,67.9286,81.5623,62.9223,59.0237
pointpillar_7728,KITTIDataset,None,True,False,80,0.0,0.9411,0.0,0.887,0.0,0.6391,95.6291,92.0321,90.9599,87.7505,78.4,75.1859,45.8062,42.9723,39.9096,57.2051,51.4259,46.8773,87.9042,72.0718,67.9286,81.5623,62.9223,59.0237
pointpillar_7728,KITTIDataset,None,True,False,80,0.0,0.9411,0.0,0.887,0.0,0.6391,95.6291,92.0321,90.9599,87.7505,78.4,75.1859,45.8062,42.9723,39.9096,57.2051,51.4259,46.8773,87.9042,72.0718,67.9286,81.5623,62.9223,59.0237
pointpillar_7728,KITTIDataset,None,True,False,80,0.0,0.9411,0.0,0.887,0.0,0.6391,95.6291,92.0321,90.9599,87.7505,78.4,75.1859,45.8062,42.9723,39.9096,57.2051,51.4259,46.8773,87.9042,72.0718,67.9286,81.5623,62.9223,59.0237
pointpillar_7728,KITTIDataset,None,True,False,80,0.0,0.9411,0.0,0.887,0.0,0.6391,95.6291,92.0321,90.9599,87.7505,78.4,75.1859,45.8062,42.9723,39.9096,57.2051,51.4259,46.8773,87.9042,72.0718,67.9286,81.5623,62.9223,59.0237
pointpillar_7728,KITTIDataset,None,True,False,80,0.0,0.9411,0.0,0.887,0.0,0.6391,95.6291,92.0321,90.9599,87.7505,78.4,75.1859,45.8062,42.9723,39.9096,57.2051,51.4259,46.8773,87.9042,72.0718,67.9286,81.5623,62.9223,59.0237
pointpillar_7728,KITTIDataset,None,True,False,80,0.0,0.9411,0.0,0.887,0.0,0.6391,95.6291,92.0321,90.9599,87.7505,78.4,75.1859,45.8062,42.9723,39.9096,57.2051,51.4259,46.8773,87.9042,72.0718,67.9286,81.5623,62.9223,59.0237
pointpillar_7728,KITTIDataset,None,True,False,80,0.0,0.9411,0.0,0.887,0.0,0.6391,95.6291,92.0321,90.9599,87.7505,78.4,75.1859,45.8062,42.9723,39.9096,57.2051,51.4259,46.8773,87.9042,72.0718,67.9286,81.5623,62.9223,59.0237
pointpillar_7728,KITTIDataset,None,True,False,80,0.0,0.9411,0.0,0.887,0.0,0.6391,95.6291,92.0321,90.9599,87.7505,78.4,75.1859,45.8062,42.9723,39.9096,57.2051,51.4259,46.8773,87.9042,72.0718,67.9286,81.5623,62.9223,59.0237
pointpillar_7728,KITTIDataset,None,True,False,80,0.0,0.9411,0.0,0.887,0.0,0.6391,95.6291,92.0321,90.9599,87.7505,78.4,75.1859,45.8062,42.9723,39.9096,57.2051,51.4259,46.8773,87.9042,72.0718,67.9286,81.5623,62.9223,59.0237
