method,dataset,dataset_version,pretrained,train,epochs,Car_3d/moderate_R40,Pedestrian_3d/moderate_R40,Cyclist_3d/moderate_R40
pv_rcnn_8369,KITTIDataset,"5,45",True,False,80,82.7394565969971,53.53396301654618,68.68067378222847
pv_rcnn_8369,KITTIDataset,"42,10",True,False,80,82.86595369663937,54.896767908668195,69.51385931740488
pv_rcnn_8369,KITTIDataset,"31,44",True,False,80,82.8006914085895,53.386410894292254,69.56942237859548
pv_rcnn_8369,KITTIDataset,"36,34",True,False,80,82.91241472524426,53.61866584670649,68.52325012225928
pv_rcnn_8369,KITTIDataset,"33,26",True,False,80,82.9534822484107,54.37785355780191,71.19096570011844
pv_rcnn_8369,KITTIDataset,"48,59",True,False,80,82.79887634385248,52.90291025488643,69.17503884672081
pv_rcnn_8369,KITTIDataset,"35,17",True,False,80,82.94128960963685,54.60901648864027,69.56115882319295
pv_rcnn_8369,KITTIDataset,"31,35",True,False,80,82.90508335119726,54.42625333225951,71.02525564484445
pv_rcnn_8369,KITTIDataset,"32,42",True,False,80,82.8789796223955,54.32913898719269,68.649364596276
pv_rcnn_8369,KITTIDataset,"2,46",True,False,80,82.88244920445122,52.938630050622,66.93528324790525
pv_rcnn_8369,KITTIDataset,"35,14,5,25",True,False,80,83.00997739345355,54.47757326882229,69.47963968091862
pv_rcnn_8369,KITTIDataset,"11,2,8,62",True,False,80,83.01986508296118,54.43278532360721,69.72721652175204
pv_rcnn_8369,KITTIDataset,"4,38,33,0",True,False,80,82.88249640412022,53.70275871048447,68.78744631901623
pv_rcnn_8369,KITTIDataset,"55,22,50,10",True,False,80,82.1254302830132,51.13150843180735,64.58804152395521
pv_rcnn_8369,KITTIDataset,"36,8,14,40",True,False,80,82.89080900657092,53.308178958293915,68.92061127181708
pv_rcnn_8369,KITTIDataset,"36,47,58,17",True,False,80,82.64075967120607,52.782212126991,65.83815582680172
pv_rcnn_8369,KITTIDataset,"49,6,26,57",True,False,80,82.67296746254247,51.514184835919274,63.28805088056841
pv_rcnn_8369,KITTIDataset,"4,10,15,13",True,False,80,82.99950312220135,55.02493016991197,69.70031638604037
pv_rcnn_8369,KITTIDataset,"43,42,19,35",True,False,80,82.37781321581711,49.433421504225464,64.8499133019275
pv_rcnn_8369,KITTIDataset,"47,24,5,44",True,False,80,82.70104480621158,51.89448145289944,67.82924820642954
pv_rcnn_8369,KITTIDataset,"62,22,12,4,7,58",True,False,80,82.93638748231548,54.91981022364863,69.4104094822081
pv_rcnn_8369,KITTIDataset,"18,25,30,35,57,7",True,False,80,82.91553031247577,53.503196675861744,63.83861114669378
pv_rcnn_8369,KITTIDataset,"43,19,51,24,22,14",True,False,80,82.5363562102814,50.18549045319932,67.07253940442298
pv_rcnn_8369,KITTIDataset,"12,37,21,52,9,8",True,False,80,82.67704515849725,53.097319016538925,68.53047597326574
pv_rcnn_8369,KITTIDataset,"53,27,41,30,25,36",True,False,80,82.10187607539035,50.530396556292764,68.54308440399348
pv_rcnn_8369,KITTIDataset,"42,1,43,50,40,3",True,False,80,81.76916431012224,46.21322308459921,62.99178752258954
pv_rcnn_8369,KITTIDataset,"46,33,58,2,60,44",True,False,80,82.6588281864621,51.436901018623594,64.90623384473817
pv_rcnn_8369,KITTIDataset,"18,20,45,56,13,6",True,False,80,82.3470899500058,52.17612351188563,62.78012552801414
pv_rcnn_8369,KITTIDataset,"37,45,6,13,5,50",True,False,80,82.40676322944098,49.64952583542612,66.96144482393682
pv_rcnn_8369,KITTIDataset,"7,16,15,41,51,40",True,False,80,82.02752280543069,44.83606891168465,66.28251838415127
pv_rcnn_8369,KITTIDataset,"7,51,63,25,40,56,11,59",True,False,80,82.10051492969004,49.5865581596695,62.074262779427904
pv_rcnn_8369,KITTIDataset,"11,62,36,14,4,26,7,1",True,False,80,82.87060837047913,53.07864257940531,69.28789189520839
pv_rcnn_8369,KITTIDataset,"45,41,33,4,48,24,55,38",True,False,80,81.6457441120033,47.89230728627845,60.0926259288634
pv_rcnn_8369,KITTIDataset,"60,22,14,6,47,58,52,48",True,False,80,79.91043354690277,46.66751580583571,61.7405104862585
pv_rcnn_8369,KITTIDataset,"40,0,12,5,22,23,60,47",True,False,80,82.63940244646462,51.677435778435054,68.20965110875568
pv_rcnn_8369,KITTIDataset,"6,60,19,45,39,2,37,25",True,False,80,82.60332427123642,49.510289827376454,66.57893125808421
pv_rcnn_8369,KITTIDataset,"18,60,8,40,15,34,42,30",True,False,80,82.61504716888047,52.66275948007419,66.3924156250914
pv_rcnn_8369,KITTIDataset,"7,54,15,10,58,59,52,27",True,False,80,81.6939971926697,51.204446306747776,59.17082398350142
pv_rcnn_8369,KITTIDataset,"2,49,63,55,9,62,44,22",True,False,80,81.95988007837963,49.18003408138453,61.95045728148163
pv_rcnn_8369,KITTIDataset,"45,53,22,42,7,57,39,49",True,False,80,79.80287891337319,49.71117399325781,56.00590709883638
pv_rcnn_8369,KITTIDataset,"30,11,26,56,31,32,36,34,46,12",True,False,80,81.36179910929287,45.84537423080029,58.651148361941374
pv_rcnn_8369,KITTIDataset,"27,5,62,13,3,49,60,63,36,14",True,False,80,82.60412694327562,50.65360483401476,66.8121781343572
pv_rcnn_8369,KITTIDataset,"24,50,51,35,31,19,14,37,28,58",True,False,80,80.1221477643078,43.586732001404535,63.0179811439478
pv_rcnn_8369,KITTIDataset,"57,38,36,28,29,32,48,21,42,53",True,False,80,79.91183949095259,48.79446365973816,57.69593717804111
pv_rcnn_8369,KITTIDataset,"11,15,61,26,44,19,31,57,21,60",True,False,80,82.521550353489,52.65052388868582,63.053924122819204
pv_rcnn_8369,KITTIDataset,"7,2,55,52,22,19,10,11,43,63",True,False,80,81.94738544913267,50.48498435849822,62.1684236955128
pv_rcnn_8369,KITTIDataset,"54,22,59,60,4,30,13,25,27,46",True,False,80,81.74584770488676,49.15442151548886,62.318044764249414
pv_rcnn_8369,KITTIDataset,"62,41,27,61,10,1,12,49,48,53",True,False,80,79.57440189700907,44.90280890298294,61.16508882995627
pv_rcnn_8369,KITTIDataset,"31,17,45,48,2,53,62,10,26,5",True,False,80,81.88369357775345,50.47095830185266,65.19130624335251
pv_rcnn_8369,KITTIDataset,"54,4,51,5,10,1,56,50,25,13",True,False,80,79.08504420989209,44.07327298536502,55.89785501951392
pv_rcnn_8369,KITTIDataset,"5,63,51,57,24,45,38,30,25,42,39,19",True,False,80,79.85385553700436,45.032678015854366,58.33882398912296
pv_rcnn_8369,KITTIDataset,"33,59,16,62,27,58,28,46,35,41,42,50",True,False,80,79.92856822328231,42.22509512581809,58.1155346008704
pv_rcnn_8369,KITTIDataset,"15,21,62,42,53,12,31,7,44,37,43,6",True,False,80,79.19139605443128,40.83118085887005,55.01622148937479
pv_rcnn_8369,KITTIDataset,"2,55,12,19,31,3,22,39,62,14,54,21",True,False,80,78.59123258875846,49.48009794328869,57.54801980621188
pv_rcnn_8369,KITTIDataset,"37,26,4,35,13,28,56,22,60,2,32,1",True,False,80,82.38222616973833,52.19126808586859,63.33450304636765
