method,dataset,dataset_version,pretrained,train,epochs,recall/roi_0.3,recall/rcnn_0.3,recall/roi_0.5,recall/rcnn_0.5,recall/roi_0.7,recall/rcnn_0.7,Car_aos/easy_R40,Car_aos/moderate_R40,Car_aos/hard_R40,Car_3d/easy_R40,Car_3d/moderate_R40,Car_3d/hard_R40,Pedestrian_aos/easy_R40,Pedestrian_aos/moderate_R40,Pedestrian_aos/hard_R40,Pedestrian_3d/easy_R40,Pedestrian_3d/moderate_R40,Pedestrian_3d/hard_R40,Cyclist_aos/easy_R40,Cyclist_aos/moderate_R40,Cyclist_aos/hard_R40,Cyclist_3d/easy_R40,Cyclist_3d/moderate_R40,Cyclist_3d/hard_R40
pv_rcnn_8369,KITTIDataset,"18,26",True,False,80,0.9686,0.9686,0.9284,0.934,0.716,0.7588,98.2141,94.2448,92.0504,92.0488,84.2815,82.4786,67.1679,61.6659,58.2242,62.0596,54.5475,49.5572,96.9617,80.5159,77.4862,88.9612,70.8622,66.5171
pv_rcnn_8369,KITTIDataset,"23,24",True,False,80,0.9686,0.9688,0.9283,0.9343,0.7164,0.7594,98.2756,94.2226,92.0211,92.1392,84.4593,82.5141,67.2,61.9061,57.8211,62.3247,54.3094,49.7192,96.7505,80.4132,77.2143,88.7641,69.6379,66.3862
pv_rcnn_8369,KITTIDataset,"38,26",True,False,80,0.9678,0.9679,0.9273,0.9331,0.7131,0.757,97.8468,94.2335,92.0221,91.9226,82.9536,82.3734,67.2202,61.3709,57.5162,61.6777,53.3091,48.9096,96.3685,80.3741,77.2275,87.5635,68.8934,65.7403
pv_rcnn_8369,KITTIDataset,"16,48",True,False,80,0.9665,0.9667,0.9233,0.929,0.71,0.7544,97.8775,94.1196,91.9188,91.7186,82.7771,82.1261,65.6868,60.5025,56.6409,60.8006,53.0644,48.3895,94.6084,80.0826,76.773,88.7982,69.3475,64.8642
pv_rcnn_8369,KITTIDataset,"21,19",True,False,80,0.9686,0.9687,0.9286,0.9344,0.7169,0.76,98.2434,94.2143,92.032,92.0584,84.2134,82.4767,67.665,62.2864,58.1968,62.8909,55.2363,50.1604,97.0227,80.5678,77.4906,88.8826,69.4969,66.1584
pv_rcnn_8369,KITTIDataset,"34,24",True,False,80,0.9683,0.9687,0.9284,0.9344,0.7139,0.7566,98.2101,94.2423,93.6283,92.1546,83.0259,82.4916,67.012,61.3568,57.3546,62.2247,54.0693,49.4489,96.5609,80.2769,76.8968,89.8801,69.5168,65.0502
pv_rcnn_8369,KITTIDataset,"2,58",True,False,80,0.9673,0.9674,0.9273,0.9329,0.7154,0.7593,98.2662,94.2459,92.0262,92.1466,82.9869,82.4483,68.0198,62.5849,58.302,63.1352,54.7771,50.1325,94.3322,79.5978,76.4058,88.5658,68.7311,64.3797
pv_rcnn_8369,KITTIDataset,"60,9",True,False,80,0.9686,0.9687,0.9288,0.9344,0.7175,0.7599,98.1978,94.2561,93.5766,92.0878,84.3671,82.487,67.5483,62.2148,57.9887,62.87,55.1272,50.0487,96.8615,81.4787,77.4692,88.6118,69.141,64.7478
pv_rcnn_8369,KITTIDataset,"43,44",True,False,80,0.9659,0.9659,0.9184,0.9247,0.698,0.7443,96.1336,94.0241,91.8674,91.487,82.5407,80.1798,64.1374,58.6239,55.0247,54.5468,47.2219,43.0735,91.2669,76.1073,72.1261,85.2438,64.3575,61.0724
pv_rcnn_8369,KITTIDataset,"53,42",True,False,80,0.964,0.9637,0.9213,0.9269,0.701,0.7463,96.0496,93.4522,91.7301,91.4722,82.3722,80.1187,67.7876,60.9737,57.0955,62.4555,54.0988,49.5897,93.4383,75.4005,72.44,91.1109,69.4406,65.1294
