,method,dataset,# of damaged beams,Car_3d/moderate_R40,Pedestrian_3d/moderate_R40,Cyclist_3d/moderate_R40
0,second,KITTIDataset,0,81.61062556,51.1493186,66.73139807
1,second,KITTIDataset,2,80.99422898,50.23380637,64.60958808
2,second,KITTIDataset,4,79.72631227,48.3043819,62.28697395
3,second,KITTIDataset,6,79.14740529,48.02577175,62.38172232
4,second,KITTIDataset,8,79.61434221,48.09276904,61.22029096
5,second,KITTIDataset,10,77.64284193,44.25910762,57.52495442
6,second,KITTIDataset,12,77.98039363,43.91250339,57.12621825
7,second,KITTIDataset,14,77.00197644,42.79712408,56.13927752
8,second,KITTIDataset,16,73.468625,39.37856932,48.8722921
9,second,KITTIDataset,18,72.88053069,39.70514669,47.92879538
10,second,KITTIDataset,20,71.70134669,36.07287926,45.90282788
11,second,KITTIDataset,22,70.2804171,32.99199816,43.23785638
12,second,KITTIDataset,24,67.70917085,29.68379305,38.72824435
13,second,KITTIDataset,26,66.39146129,28.40735425,37.88337277
14,second,KITTIDataset,28,63.98880714,23.98936413,31.30356298
15,second,KITTIDataset,30,56.53432088,21.06971691,25.70729827
16,second,KITTIDataset,32,56.88505437,18.75902202,29.29142247
17,second,KITTIDataset,34,53.86477102,16.02853854,24.16378012
18,second,KITTIDataset,36,56.46102937,17.61945742,25.38922628
19,second,KITTIDataset,38,49.67244375,16.4936566,19.51242036
20,second,KITTIDataset,40,47.10338043,11.90645064,17.15831369
21,second,KITTIDataset,42,46.86025848,10.73321539,15.75519028
22,second,KITTIDataset,44,39.26533087,6.255673839,9.882954592
23,second,KITTIDataset,46,28.57782462,3.538976144,4.750567969
24,second,KITTIDataset,48,30.3167612,4.763341582,6.782259864
25,second,KITTIDataset,50,27.94783201,3.499228358,4.836380304
26,second,KITTIDataset,52,18.43924501,2.104231889,2.992392919
27,second,KITTIDataset,54,12.98044149,0.63053078,0.640769703
28,second,KITTIDataset,56,8.943942126,0.218393558,0.096631565
29,second,KITTIDataset,58,6.398994822,0.215360194,0.133645778
