method,dataset,dataset_version,pretrained,train,epochs,Car_3d/moderate_R40,Pedestrian_3d/moderate_R40,Cyclist_3d/moderate_R40
second,KITTIDataset,"33,52",True,False,80,80.49237656270873,49.027463163241016,65.84022899859818
second,KITTIDataset,"12,2",True,False,80,81.58757089555382,51.231931670742505,66.71501587421747
second,KITTIDataset,"50,60",True,False,80,80.54719382782925,48.26734423312759,65.57234967158735
second,KITTIDataset,"11,4",True,False,80,81.59392365509837,51.2473589195561,66.71462871073895
second,KITTIDataset,"18,12",True,False,80,81.4701375238819,51.244232150991586,66.67207736354102
second,KITTIDataset,"60,57",True,False,80,81.52826706624806,51.50745435573542,61.98308364393847
second,KITTIDataset,"30,60",True,False,80,81.43114479439758,51.265374764637016,65.93053406968706
second,KITTIDataset,"47,25",True,False,80,81.01194595896484,48.960261164155675,64.4527131105809
second,KITTIDataset,"57,54",True,False,80,79.37083792642203,50.045529288474086,57.43060984370233
second,KITTIDataset,"21,46",True,False,80,80.90889163265018,49.54111397768755,64.78463947360692
second,KITTIDataset,"20,7,46,13",True,False,80,80.94777270372242,49.5580525529341,64.72144249598487
second,KITTIDataset,"20,49,63,14",True,False,80,80.84054098134948,48.670241078435204,64.29943236695001
second,KITTIDataset,"24,13,36,2",True,False,80,81.43273909590695,50.672579955455596,65.9827688225067
second,KITTIDataset,"25,1,44,55",True,False,80,78.97061519142741,48.217670828091144,57.78804618815536
second,KITTIDataset,"30,43,27,48",True,False,80,79.25941886884289,47.124766017165626,62.32560913528562
second,KITTIDataset,"40,20,49,39",True,False,80,79.11295277841388,43.52059641894016,62.8869705664184
second,KITTIDataset,"63,56,55,51",True,False,80,73.3518934216178,45.99964516968392,52.73157428862583
second,KITTIDataset,"1,34,24,45",True,False,80,80.90041699911664,47.90657360079847,65.65170767911664
second,KITTIDataset,"6,33,3,57",True,False,80,81.52059946039498,50.929644323432576,61.91750961793153
second,KITTIDataset,"27,21,11,41",True,False,80,80.92617322732639,50.44404903665093,64.56467835135044
second,KITTIDataset,"17,53,9,54,6,51",True,False,80,74.78487375103572,45.15346822697898,53.578616847270744
second,KITTIDataset,"6,27,11,22,58,25",True,False,80,81.17625542092553,50.72487651930447,64.57706089059356
second,KITTIDataset,"17,37,42,38,59,19",True,False,80,79.32492266234534,47.70712348212669,62.4228012237394
second,KITTIDataset,"19,44,4,22,36,51",True,False,80,79.15677704012504,47.64876403564578,62.796807858348714
second,KITTIDataset,"27,8,0,22,6,20",True,False,80,81.1576719791593,50.97048287504465,66.09043063712568
second,KITTIDataset,"16,28,39,41,22,21",True,False,80,79.52460956011572,49.052613171793936,63.25851330988047
second,KITTIDataset,"40,3,44,21,26,61",True,False,80,79.4664120283854,49.00186033978892,65.16746788420404
second,KITTIDataset,"50,29,32,52,7,9",True,False,80,79.08078020569195,46.79817289555951,62.830010273192784
second,KITTIDataset,"21,51,35,12,48,0",True,False,80,78.93340288461104,46.161726362149594,62.79405486570704
second,KITTIDataset,"56,9,48,40,22,24",True,False,80,78.86834735169522,47.03862959478754,60.30145938850783
second,KITTIDataset,"43,13,58,3,9,52,26,19",True,False,80,79.41790459456823,47.89393958279112,62.3482982081364
second,KITTIDataset,"11,8,41,58,43,50,14,25",True,False,80,79.18060905076618,45.72680465188702,59.64016440771316
second,KITTIDataset,"59,55,6,34,9,12,3,0",True,False,80,79.19405999575226,48.7837894788168,60.10054598755128
second,KITTIDataset,"37,18,6,20,39,21,28,17",True,False,80,79.45674657300412,49.493661359157684,63.65351412763025
second,KITTIDataset,"47,2,52,58,39,16,60,21",True,False,80,79.09958287877899,46.43585442333979,61.87666853077902
second,KITTIDataset,"33,4,28,46,13,29,48,11",True,False,80,79.07917204916785,45.52599559986387,60.85321718393493
second,KITTIDataset,"13,25,10,61,50,57,60,33",True,False,80,79.6085895532189,47.86668591135164,60.175379183224564
second,KITTIDataset,"0,61,17,25,6,44,15,35",True,False,80,80.85222974025483,49.30664779330702,64.07351633810363
second,KITTIDataset,"26,57,8,1,35,6,23,11",True,False,80,81.3690879053825,50.80997411015375,60.9091081738525
second,KITTIDataset,"28,40,5,12,55,33,25,8",True,False,80,78.88543972486593,49.08433751272449,58.57249747217127
second,KITTIDataset,"23,32,36,20,40,51,52,14,18,41",True,False,80,75.62730847945986,39.01422205853033,58.346316541248164
second,KITTIDataset,"53,60,3,55,35,2,49,19,51,22",True,False,80,76.0832678266804,43.2286958321758,54.02894326566362
second,KITTIDataset,"14,37,22,27,6,41,45,2,54,15",True,False,80,78.93585466714134,46.83689337321993,58.0632905990842
second,KITTIDataset,"6,28,4,3,17,14,38,32,56,20",True,False,80,79.1396462408296,49.3471490508114,60.70863324339333
second,KITTIDataset,"31,5,42,62,18,45,3,33,32,34",True,False,80,78.83380305692789,43.84133288626831,58.93415360036267
second,KITTIDataset,"0,12,25,28,56,41,46,37,26,13",True,False,80,78.87457207703167,47.43778651668699,57.30444949623749
second,KITTIDataset,"10,25,54,34,24,57,17,23,56,13",True,False,80,75.77187311749505,47.41595510625986,51.8963794709575
second,KITTIDataset,"43,23,2,25,13,15,32,49,26,24",True,False,80,79.3780864551779,44.639809856871686,61.23403926634033
second,KITTIDataset,"46,58,11,47,18,29,48,59,60,17",True,False,80,75.24990139230712,37.32116610597963,52.870843503641474
second,KITTIDataset,"41,2,17,35,28,20,38,40,19,45",True,False,80,78.53410598103873,43.50806545506668,61.86249520832975
second,KITTIDataset,"61,62,16,46,9,32,17,38,60,20,21,5",True,False,80,79.43111349392062,47.926034775972326,64.41978373169498
second,KITTIDataset,"36,26,28,41,33,21,55,59,25,32,35,10",True,False,80,77.52475185968795,44.84415566788765,53.62412524380166
second,KITTIDataset,"14,55,45,22,12,2,21,3,0,27,10,17",True,False,80,78.78496867328215,47.236845929037244,58.83001739567978
second,KITTIDataset,"24,42,7,40,32,41,23,4,19,16,21,49",True,False,80,77.54564512867806,37.99586974079994,56.29409663635452
second,KITTIDataset,"60,55,8,52,6,18,24,11,22,5,35,37",True,False,80,78.60119591221033,47.40053015417961,55.897382918164226
second,KITTIDataset,"46,6,0,22,34,30,31,18,5,21,32,45",True,False,80,78.11893274820765,39.61192729585002,57.10256432406198
