method,dataset,dataset_version,pretrained,train,epochs,recall/roi_0.3,recall/rcnn_0.3,recall/roi_0.5,recall/rcnn_0.5,recall/roi_0.7,recall/rcnn_0.7,Car_aos/easy_R40,Car_aos/moderate_R40,Car_aos/hard_R40,Car_3d/easy_R40,Car_3d/moderate_R40,Car_3d/hard_R40,Pedestrian_aos/easy_R40,Pedestrian_aos/moderate_R40,Pedestrian_aos/hard_R40,Pedestrian_3d/easy_R40,Pedestrian_3d/moderate_R40,Pedestrian_3d/hard_R40,Cyclist_aos/easy_R40,Cyclist_aos/moderate_R40,Cyclist_aos/hard_R40,Cyclist_3d/easy_R40,Cyclist_3d/moderate_R40,Cyclist_3d/hard_R40
second,KITTIDataset,None,True,False,80,0.0,0.9498,0.0,0.8916,0.0,0.6653,95.5862,94.0077,91.5115,90.523,81.5901,78.5763,64.6503,61.1026,57.3894,56.0387,51.1774,46.2491,91.2441,78.5978,74.9755,82.9443,66.7176,62.9215
second,KITTIDataset,None,True,False,80,0.0,0.9498,0.0,0.8916,0.0,0.6653,95.5862,94.0077,91.5115,90.523,81.5901,78.5763,64.6503,61.1026,57.3894,56.0387,51.1774,46.2491,91.2441,78.5978,74.9755,82.9443,66.7176,62.9215
second,KITTIDataset,None,True,False,80,0.0,0.9498,0.0,0.8916,0.0,0.6653,95.5862,94.0077,91.5115,90.523,81.5901,78.5763,64.6503,61.1026,57.3894,56.0387,51.1774,46.2491,91.2441,78.5978,74.9755,82.9443,66.7176,62.9215
second,KITTIDataset,None,True,False,80,0.0,0.9498,0.0,0.8916,0.0,0.6653,95.5862,94.0077,91.5115,90.523,81.5901,78.5763,64.6503,61.1026,57.3894,56.0387,51.1774,46.2491,91.2441,78.5978,74.9755,82.9443,66.7176,62.9215
second,KITTIDataset,None,True,False,80,0.0,0.9498,0.0,0.8916,0.0,0.6653,95.5862,94.0077,91.5115,90.523,81.5901,78.5763,64.6503,61.1026,57.3894,56.0387,51.1774,46.2491,91.2441,78.5978,74.9755,82.9443,66.7176,62.9215
second,KITTIDataset,None,True,False,80,0.0,0.9498,0.0,0.8916,0.0,0.6653,95.5862,94.0077,91.5115,90.523,81.5901,78.5763,64.6503,61.1026,57.3894,56.0387,51.1774,46.2491,91.2441,78.5978,74.9755,82.9443,66.7176,62.9215
second,KITTIDataset,None,True,False,80,0.0,0.9498,0.0,0.8916,0.0,0.6653,95.5862,94.0077,91.5115,90.523,81.5901,78.5763,64.6503,61.1026,57.3894,56.0387,51.1774,46.2491,91.2441,78.5978,74.9755,82.9443,66.7176,62.9215
second,KITTIDataset,None,True,False,80,0.0,0.9498,0.0,0.8916,0.0,0.6653,95.5862,94.0077,91.5115,90.523,81.5901,78.5763,64.6503,61.1026,57.3894,56.0387,51.1774,46.2491,91.2441,78.5978,74.9755,82.9443,66.7176,62.9215
second,KITTIDataset,None,True,False,80,0.0,0.9498,0.0,0.8916,0.0,0.6653,95.5862,94.0077,91.5115,90.523,81.5901,78.5763,64.6503,61.1026,57.3894,56.0387,51.1774,46.2491,91.2441,78.5978,74.9755,82.9443,66.7176,62.9215
second,KITTIDataset,None,True,False,80,0.0,0.9498,0.0,0.8916,0.0,0.6653,95.5862,94.0077,91.5115,90.523,81.5901,78.5763,64.6503,61.1026,57.3894,56.0387,51.1774,46.2491,91.2441,78.5978,74.9755,82.9443,66.7176,62.9215
second,KITTIDataset,None,True,False,80,0.0,0.9498,0.0,0.8916,0.0,0.6653,95.5862,94.0077,91.5115,90.523,81.5901,78.5763,64.6503,61.1026,57.3894,56.0387,51.1774,46.2491,91.2441,78.5978,74.9755,82.9443,66.7176,62.9215
second,KITTIDataset,None,True,False,80,0.0,0.9498,0.0,0.8916,0.0,0.6653,95.5862,94.0077,91.5115,90.523,81.5901,78.5763,64.6503,61.1026,57.3894,56.0387,51.1774,46.2491,91.2441,78.5978,74.9755,82.9443,66.7176,62.9215
second,KITTIDataset,None,True,False,80,0.0,0.9498,0.0,0.8916,0.0,0.6653,95.5862,94.0077,91.5115,90.523,81.5901,78.5763,64.6503,61.1026,57.3894,56.0387,51.1774,46.2491,91.2441,78.5978,74.9755,82.9443,66.7176,62.9215
second,KITTIDataset,None,True,False,80,0.0,0.9498,0.0,0.8916,0.0,0.6653,95.5862,94.0077,91.5115,90.523,81.5901,78.5763,64.6503,61.1026,57.3894,56.0387,51.1774,46.2491,91.2441,78.5978,74.9755,82.9443,66.7176,62.9215
second,KITTIDataset,None,True,False,80,0.0,0.9498,0.0,0.8916,0.0,0.6653,95.5862,94.0077,91.5115,90.523,81.5901,78.5763,64.6503,61.1026,57.3894,56.0387,51.1774,46.2491,91.2441,78.5978,74.9755,82.9443,66.7176,62.9215
second,KITTIDataset,None,True,False,80,0.0,0.9498,0.0,0.8916,0.0,0.6653,95.5862,94.0077,91.5115,90.523,81.5901,78.5763,64.6503,61.1026,57.3894,56.0387,51.1774,46.2491,91.2441,78.5978,74.9755,82.9443,66.7176,62.9215
second,KITTIDataset,None,True,False,80,0.0,0.9498,0.0,0.8916,0.0,0.6653,95.5862,94.0077,91.5115,90.523,81.5901,78.5763,64.6503,61.1026,57.3894,56.0387,51.1774,46.2491,91.2441,78.5978,74.9755,82.9443,66.7176,62.9215
second,KITTIDataset,None,True,False,80,0.0,0.9498,0.0,0.8916,0.0,0.6653,95.5862,94.0077,91.5115,90.523,81.5901,78.5763,64.6503,61.1026,57.3894,56.0387,51.1774,46.2491,91.2441,78.5978,74.9755,82.9443,66.7176,62.9215
second,KITTIDataset,None,True,False,80,0.0,0.9498,0.0,0.8916,0.0,0.6653,95.5862,94.0077,91.5115,90.523,81.5901,78.5763,64.6503,61.1026,57.3894,56.0387,51.1774,46.2491,91.2441,78.5978,74.9755,82.9443,66.7176,62.9215
